,model,feats,body_part,interp,emotion,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
17,SVM,stats,,True,happiness,average,0,0.2966298104282993,0.1860972273577018,0.3050670512741186,0.15068887801196681,0.2662508814090026,0.153455629720355,0.6101204227802138,0.12231696636731076
18,SVM,stats,,True,sadness,0,0,0.29836629406706794,,0.4957142857142857,,0.37251744498121303,,[0.63582555],
19,SVM,stats,,True,sadness,1,0,0.2903225806451613,,0.11487481590574374,,0.16461484347520225,,[0.50746578],
20,SVM,stats,,True,sadness,2,0,0.0,,0.0,,0.0,,[0.73936582],
21,SVM,stats,,True,sadness,3,0,0.19831546707503828,,0.33077905491698595,,0.24796553374820487,,[0.58151305],
22,SVM,stats,,True,sadness,4,0,0.5951056729699666,,0.23714539007092197,,0.33914421553090335,,[0.48569314],
23,SVM,stats,,True,sadness,5,0,0.3288058856819468,,0.24914236706689538,,0.28348377653086115,,[0.4976052],
24,SVM,stats,,True,sadness,6,0,0.0,,0.0,,0.0,,[0.73638968],
25,SVM,stats,,True,sadness,7,0,0.152088772845953,,0.5087336244541485,,0.2341708542713568,,[0.61995012],
26,SVM,stats,,True,sadness,average,0,0.23287558416064175,0.18172280967506735,0.24204869226612263,0.18599827280458017,0.20523708356721768,0.13256788597722294,0.6004760434867997,0.09497351107057934
27,SVM,stats,,True,surprise,0,0,0.16902834008097167,,0.2733224222585925,,0.208880550343965,,[0.605919],
